QD_Ref,BorrowerSSNLast4,AppDate,FundingDt,Contract_Maturity,Amt_Funded,OutstandingPrincipal,NoteRate,APR_Effective,ContractTermMo,RemainingPayments,SchedPayment,ActualLastPmt,VehicleMake,VehicleModel,VehicleYear,VehicleVIN,Mileage_Orig,NewOrUsed,DealerName,DealerState,CreditScoreAtOrig,CreditScoreCurrent,CoBorrowerFlag,CoBorrowerScore,BorrowerDTI_Back,BorrowerAnnualInc,EmployerName,EmpYears,IncomeVerified,BorrState,BorrZip,BorrCity,LoanStat,DaysPastDue,DelinqBucket,NumLate30,NumLate60,NumLate90,CumulLossAmt,RecoveryAmt,ChargeoffDate,PaymentMethod,AutoPayEnrolled,ModificationFlag,HardshipPlan,LTV_Orig,BookValue_Orig,CurrentBookValue,Depreciation_Pct,WholesaleValue,RetailValue,OrigFee,ServicingFee_Bps,PoolID,InvestorCode,BatchID,MonthsOnBooks,VintageQtr,FirstPmtDefault,Ext_bureau_inqs_6mo,Ext_revolv_util,Ext_open_accts,Ext_total_accts,Ext_derog_marks,Ext_collections,Ext_bankruptcies,Channel,PricingTier,RiskBand,DecisionEngine_Score,FraudScore,IdentityConfidence
QD-0000126,7432,05/06/2022,2023-01-18,,44102.74,42781.88,13.8,14.97,48,27,929.37,965.03,Ram,2500,2020,WA6M96M5U2TLUGG01,50335,Used,Lithia,NJ,,487,0,,25.5,124541,UPS,14,,NJ,86298,City 17,CURRENT,,Current,0,0,0,0.0,0.0,,,1,0,0,70.8,62292,58803.65,5.6,51587.25,60175.52,2.81,100,,INV_AUTO_3,BATCH-348,21,2022Q2,0,1,57.1,21,34,0,2,0,Online App,Near Prime,A,484.6,85.6,53.5
QD-0000127,9246,02/06/2023,2022-01-21,,21330.13,14182.94,16.49,16.81,48,7,450.48,405.72,Ford,Explorer,2018,BJHY3M2I3QM6DTECA,17123,New,CarMax,LA,764,731,0,,64.3,193660,Freelance,23,Verified,LA,57173,City 5,REPO,148,Repo,3,2,1,6041.66,5562.87,09/06/2024,Online,0,0,0,108.6,19641,13021.98,33.7,9223.28,15045.19,425.24,50,QD-2024-A,,BATCH-481,41,2023Q1,0,4,21.9,5,9,7,3,0,Dealer Direct,Near Prime,A+,680.4,97.9,63.8
QD-0000128,6993,03/28/2023,2023-02-16,,58692.43,55537.85,24.69,26.83,84,44,713.1,683.65,Nissan,Rogue,2018,ONZNQ06UJLQV62J16,92590,Certified Pre-Owned,Group 1,NY,783,762,0,,45.9,211885,,,,NY,44559,Albany,90DPD,102,90-119,7,4,1,0.0,0.0,,ACH,1,0,0,104.5,56165,52570.44,6.4,44049.03,53385.79,117.93,50,QD-2024-C,INV_AUTO_2,BATCH-934,40,2023Q1,0,14,97.4,6,17,,2,0,Dealer Indirect,Near Prime,A,732.1,96.2,64.1
QD-0000129,6850,02/02/2023,2022-12-02,,20705.62,10145.03,24.32,26.38,,48,352.09,367.62,Hyundai,Kona,2023,7C7NXXBAF4GELLX8E,,Used,AutoNation,MA,805,803,0,,34.9,154510,Target,27,Self-Reported,MA,75171,City 4,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,0,0,95.4,21704,18209.66,16.1,,21223.05,203.37,50,QD-2025-A,INV_AUTO_1,BATCH-214,12,2023Q1,0,14,46.3,5,,,3,0,Broker,Deep Subprime,B,825.2,82.0,61.1
QD-0000130,8844,04-Feb-2022,2022-08-06,,56674.73,24721.9,11.79,13.96,72,43,794.88,694.24,Subaru,Forester,2022,4EBO2J3AYIUKEUF5C,109198,Certified Pre-Owned,Lithia,AL,772,730,0,,51.9,56347,Home Depot,22,Not Verified,AL,76631,City 10,CURRENT,0,,0,0,0,0.0,,,ACH,1,0,0,88.1,64330,51528.33,19.9,36577.99,55543.53,202.51,100,QD-2024-B,INV_AUTO_3,BATCH-316,29,2022Q1,0,4,71.7,22,42,2,1,0,Dealer Indirect,,A,507.7,99.0,92.9
QD-0000131,7568,09/05/2022,2022-05-22,,17452.71,9772.07,16.82,17.63,48,28,368.69,344.48,Jeep,Gladiator,2022,QL7PH6P9JLAILHHVN,65065,Used,Penske,AZ,641,667,0,,22.0,156347,AT&T,7,Verified,AZ,30780,City 10,CURRENT,0,Current,0,0,0,0.0,0.0,,,1,0,0,112.2,15555,12879.54,17.2,10418.92,14843.71,0.6,100,,,BATCH-505,20,2022Q3,0,14,80.0,10,25,0,5,0,Dealer Direct,Subprime,C,784.5,27.2,64.1
QD-0000132,7446,09/28/2022,2022-09-15,,43761.76,35794.71,21.91,24.08,72,41,618.9,593.3,Chevrolet,Equinox,2020,,43688,New,AutoNation,NY,812,818,0,,29.3,,Home Depot,9,Self-Reported,NY,71946,Buffalo,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,0,0,82.1,53303,34007.31,36.2,25192.89,39882.24,411.48,50,QD-2024-C,INV_AUTO_1,BATCH-239,31,2022Q3,0,12,92.9,5,24,3,4,0,Online App,Prime,A+,481.1,56.7,92.4
QD-0000133,1268,05/26/2023,2022-04-27,,27563.55,20833.16,18.19,18.51,72,44,388.63,394.58,Chevrolet,Silverado,2025,8XEBNP5O3XT083RWR,104799,New,CarMax,GA,649,590,1,768,53.5,117735,FedEx,24,Self-Reported,GA,51312,City 40,CURRENT,0,Current,0,0,0,0.0,0.0,,,1,0,0,74.7,36899,27083.87,26.6,21442.04,32211.11,14.52,75,QD-2024-B,INV_AUTO_1,BATCH-230,28,2023Q2,0,7,73.5,18,26,7,1,0,Dealer Indirect,Subprime,A,333.6,94.2,
QD-0000134,3976,09/11/2023,2024-06-25,,48516.47,34056.13,20.81,21.86,72,30,685.53,678.95,Ram,ProMaster,2020,H8VLIG7R2FMFP5MD3,92011,Used,AutoNation,IL,577,541,0,,32.3,72425,,,Not Verified,IL,48591,Naperville,CURRENT,0,Current,0,0,0,0.0,0.0,,Online,0,0,0,92.4,52507,33341.94,36.5,26328.1,35058.24,341.56,75,QD-2024-A,INV_AUTO_3,BATCH-294,42,,0,0,27.1,1,6,0,2,1,Dealer Indirect,,D,599.5,59.9,96.1
QD-0000135,2833,08/30/2023,2023-01-05,,36605.11,-26857.46,24.1,24.42,48,29,777.92,823.67,Jeep,,2023,Q3OV9JYDFZDTC5PAY,101251,Certified Pre-Owned,Carvana,OR,765,800,0,,51.7,225180,,,Self-Reported,OR,38535,City 47,30DPD,57,30-59,4,0,0,0.0,0.0,,Online,0,0,1,124.3,29449,22263.44,24.4,17860.09,26181.69,305.87,50,QD-2024-A,,BATCH-850,19,2023Q3,0,6,18.3,10,12,0,2,0,Broker,Near Prime,E,858.1,80.9,59.0
QD-0000136,3798,06/29/2024,2024-04-19,,16428.72,0.0,12.23,13.8,72,48,230.5,0,Volkswagen,Jetta,2024,M3EQLSU8MIJPW105U,100102,New,Carvana,WA,766,706,0,,55.8,65790,Target,7,Verified,WA,71222,City 40,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,ACH,1,0,0,115.5,14224,9558.53,32.8,8262.35,10579.13,495.34,50,QD-2025-A,,BATCH-477,24,2024Q2,0,7,54.1,,21,7,1,0,Refinance,Super Prime,E,366.4,97.0,70.9
QD-0000137,1319,04/05/2024,2022-07-28,,56047.52,53407.08,6.2,7.87,60,36,938.95,900.68,Jeep,Cherokee,2024,F52BWHNYBJK8JV7OJ,119572,New,Lithia,LA,803,743,,,60.5,34384,Walmart,21,Employer Confirmed,LA,98974,City 47,CURRENT,0,Current,0,,0,0.0,0.0,,ACH,1,0,0,86.6,64720,60124.88,7.1,51240.47,71115.47,332.48,75,QD-2025-A,,BATCH-683,24,2024Q2,0,12,29.3,18,26,3,3,0,Broker,Subprime,E,422.0,91.1,97.5
QD-0000138,9000,09/22/2023,2023-07-06,,36310.29,12244.65,12.81,14.14,84,80,436.88,353.47,Mazda,CX-50,2023,HTP5CH3SVG7SS63UM,30325,Used,Sonic Auto,NY,579,525,0,,40.0,188915,Bank of America,19,Verified,NY,69520,Albany,CURRENT,0,Current,0,0,0,0.0,0.0,,Online,,,0,113.0,32133,19633.26,,16111.19,19777.16,150.14,100,QD-2024-B,INV_AUTO_3,BATCH-396,4,2023Q3,0,9,11.2,26,40,1,2,1,Online App,Subprime,E,428.9,77.2,64.9
QD-0000139,4439,07/14/2024,2022-06-17,,44050.36,18581.41,15.98,17.35,60,55,743.95,671.43,Hyundai,Sonata,2020,PT1UV94C8MA30W78Z,3890,Certified Pre-Owned,Sonic Auto,NJ,,836,0,,40.6,,FedEx,9,,NJ,93794,City 35,90DPD,146,120+,7,4,3,0.0,0.0,,Online,0,0,0,77.8,56620,51410.96,9.2,37861.35,53648.75,380.27,50,,,BATCH-635,5,2024Q3,0,10,81.1,26,34,3,3,0,Dealer Direct,Subprime,D,617.5,91.6,63.1
QD-0000140,8566,05/07/2023,2024-08-23,,59480.66,40822.05,15.82,18.22,60,37,1004.41,900.95,Nissan,Pathfinder,2024,6M5WK3BNEGUARHJRH,13741,New,Sonic Auto,SC,564,516,1,698,30.4,52327,Starbucks,12,,SC,76592,City 3,CURRENT,0,Current,0,0,0,0.0,0.0,,Online,0,0,0,96.3,61766,41259.69,33.2,32283.3,41548.19,41.1,75,QD-2024-C,INV_AUTO_1,BATCH-936,23,2023Q2,0,12,41.0,11,18,,1,0,,,A+,813.2,54.5,71.1
QD-0000141,3362,08/03/2024,2022-10-02,,15795.01,15155.69,20.3,22.2,48,31,334.63,322.31,Tesla,Model X,,QV0R095UHGCRKFKJ6,18932,New,AutoNation,CA,799,760,0,,15.6,,Amazon,19,,CA,69009,San Diego,CURRENT,0,,0,0,0,0.0,,,Mobile App,1,0,0,94.4,16732,11779.33,29.6,8478.27,13273.64,,25,QD-2024-A,,BATCH-831,17,2024Q3,0,8,10.0,7,12,4,,0,Dealer Indirect,Subprime,A+,311.8,70.7,74.7
QD-0000142,9848,,2024-02-09,,$7216.21,$6636.97,6.9,7.84,36,18,201.6,184.4,Volkswagen,Tiguan,2024,EDYL7U4GP59Z025JU,47066,New,Lithia,PA,593,626,0,,52.0,59202,,,Employer Confirmed,PA,72188,City 20,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,0,0,80.1,9009,8072.06,10.4,7180.93,9407.44,301.34,75,,,,18,2023Q1,0,3,22.5,5,20,6,,0,Dealer Direct,Near Prime,E,409.6,64.2,
QD-0000143,5245,06/18/2022,2024-05-20,,55359.55,44546.27,23.53,24.42,48,10,1175.94,990.68,  BMW  , 3 Series,2021,U2FAW2XCH1JOQNUVK,91003,Used,Sonic Auto,WA,841,850,0,,50.5,215989,,,Verified,WA,49348,City 35,60DPD,,60-89,5,3,0,0.0,0.0,,,1,0,0,104.6,52925,48320.53,,39662.74,54561.24,476.55,,QD-2024-A,INV_AUTO_1,BATCH-425,38,,0,8,68.4,8,,1,0,0,Dealer Indirect,Deep Subprime,A,324.4,2.3,79.8
QD-0000144,9761,06/19/2024,2024-05-08,,49354.51,0.0,12.51,13.02,84,37,593.68,,Ford,F-150,2023,710EQ8O9S4ZNMZOFE,53717,New,Local Motors,OR,655,628,0,,60.4,219635,,,Verified,OR,28917,City 20,PAID_OFF,0,Paid Off,0,0,0,,0.0,,Check,1,0,0,121.5,40621,29531.47,27.3,23163.63,32432.46,245.91,50,QD-2024-C,INV_AUTO_2,BATCH-458,47,2024Q2,0,11,49.9,24,44,3,5,,Dealer Indirect,Deep Subprime,A+,364.2,8.8,61.8
QD-0000145,8645,04/19/2022,2022-04-30,,16899.44,14989.28,7.02,8.95,60,52,283.31,273.8,Toyota,RAV4,2021,B0515F9MZ99ZJUK9Q,107824,Used,Local Motors,FL,709,688,1,552,49.5,35358,Starbucks,15,Not Verified,FL,60469,Fort Lauderdale,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,,0,126.2,13391,8704.15,35.0,,8876.32,148.91,100,QD-2024-A,INV_AUTO_2,BATCH-209,8,2022Q2,0,1,8.0,26,34,0,0,0,Online App,Prime,E,421.0,59.5,77.5
QD-0000146,7359,03/31/2023,2022-10-08,,12821.42,11572.51,19.15,20.93,48,38,271.38,250.02,Honda,Pilot,2023,2I5WLLDAAE16P1FS3,72096,Used,Hendrick Auto,WI,580,603,0,,14.5,235220,AT&T,9,Not Verified,WI,91265,City 45,CHARGED_OFF,219,Charged Off,,2,4,11070.8,843.1,07/05/2024,ACH,0,0,0,92.5,13861,10520.5,24.1,8131.78,12219.65,,25,QD-2024-C,INV_AUTO_1,BATCH-486,10,2023Q1,0,3,73.9,20,22,0,2,0,Broker,Subprime,D,339.6,2.4,65.1
QD-0000147,3372,12/19/2024,2024-06-02,,44593.18,15427.75,13.46,14.7,72,26,626.3,609.59,Kia,Telluride,2024,08L4PJAGXLQ0S5RMJ,109346,New,Group 1,NC,525,491,1,793,22.9,110672,US Army,22,Not Verified,NC,38559,City 23,CURRENT,0,Current,0,,0,0.0,0.0,,ACH,0,0,0,,52773,50028.8,5.2,42906.77,56905.8,88.18,75,,INV_AUTO_2,BATCH-365,46,,0,8,51.7,30,46,,4,,,Super Prime,A+,543.9,67.2,51.5
QD-0000148,,12/18/2023,,,32772.48,15217.34,12.47,14.29,72,36,459.9,430.36,Nissan,Pathfinder,2020,,16441,Certified Pre-Owned,,MN,577,589,0,,,80272,,,Employer Confirmed,MN,30483,City 17,CURRENT,0,Current,0,0,0,0.0,0.0,,Online,1,0,0,124.8,26260,14705.6,44.0,11950.39,15968.04,411.12,50,QD-2024-C,INV_AUTO_1,,36,2023Q4,0,15,18.0,28,30,2,4,0,Broker,Near Prime,E,662.8,12.7,85.0
QD-0000149,7276,02/21/2023,2024-07-06,,39761.89,24360.29,4.56,4.91,36,12,1108.69,1188.2,BMW,X1,2020,Z6PQ1AUF0TJ5JGZCY,33013,Used,Penske,WI,548,489,1,643,26.7,39187,-50000,,,WI,84233,City 42,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,1,0,98.1,40532,27683.36,31.7,22194.83,32764.97,427.49,75,QD-2025-A,INV_AUTO_3,BATCH-254,24,2023Q1,0,7,10.0,12,19,6,1,0,Broker,Prime,D,379.5,39.6,53.8
QD-0000150,,12/14/2022,2022-11-29,,15123.64,4625.77,22.11,23.24,72,65,213.92,183.02,Mazda,CX-50,2020,RKBZWB1UI1TGF4D8H,6896,,Local Motors,FL,819,811,0,,35.7,166826,,,Employer Confirmed,FL,21880,Miami,REPO,226,Repo,3,3,4,1776.3,8563.5,06/02/2024,ACH,0,0,0,82.1,18421,10739.44,41.7,9433.21,12517.96,19.88,100,QD-2025-A,INV_AUTO_1,BATCH-368,7,2022Q4,0,0,60.5,21,34,6,1,,Dealer Indirect,Prime,B,641.8,17.5,50.6
QD-0000151,6127,01/06/2024,2023-08-24,,51942.72,21524.46,19.88,21.14,72,54,733.38,794.31,Toyota,RAV4,2022,GOKLVA2UHTJPK4W0K,82027,Used,Group 1,MI,632,597,1,,53.4,230700,,,,,31693,City 49,30DPD,41,30-59,4,0,0,0.0,0.0,,Online,1,0,0,88.7,58560,41694.72,28.8,31080.38,48986.27,,75,QD-2024-A,INV_AUTO_1,BATCH-103,18,2024Q1,0,1,28.1,15,20,3,4,0,Dealer Indirect,Near Prime,C,805.2,13.7,78.0
QD-0000152,1242,10/10/2022,2022-10-12,,19530.9,15107.84,20.86,22.1,84,39,236.55,256.2,Volkswagen,Jetta,2024,,115298,New,Carvana,WA,,568,0,,52.1,126806,,27,Verified,WA,84842,City 43,30DPD,49,30-59,5,0,0,0.0,0.0,,ACH,1,0,0,91.3,,18931.92,11.5,16777.21,21492.14,102.97,25,QD-2024-A,,BATCH-881,45,2022Q4,0,2,54.5,13,27,0,3,0,,Prime,B,688.7,56.1,88.2
QD-0000153,7305,08/30/2023,2023-09-05,,10629.18,6929.75,14.82,16.98,72,67,149.45,127.25,Ford,,2018,ROABEAWQW29PY5KH2,115940,Used,Group 1,OR,541,500,0,,36.1,127411,,,,OR,95364,City 36,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,0,0,105.9,10037,5771.27,42.5,4831.04,6601.45,44.41,100,,INV_AUTO_1,BATCH-533,5,2023Q3,0,10,95.1,6,26,7,,0,Dealer Indirect,Prime,E,810.4,45.8,75.8
QD-0000154,5174,01/23/2023,2023-12-08,,20595.62,0.0,14.48,15.84,48,21,434.25,0,BMW,X5,2020,B8363DHTG1D9OB6KB,32382,New,Larry H. Miller,MN,768,709,1,763,41.9,55766,,,Verified,MN,33189,City 30,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,Online,1,0,0,83.0,24814,14466.56,41.7,11381.79,15337.76,,100,QD-2025-A,INV_AUTO_2,BATCH-481,27,2023Q1,0,7,21.5,25,42,7,3,0,Broker,Super Prime,D,694.4,15.4,95.7
QD-0000155,5438,06/26/2022,2023-01-03,,44431.38,15521.17,7.88,9.16,72,59,621.15,501.7,Toyota,Corolla,2022,0T51LC8A4OC1CQB7U,102200,New,AutoNation,GA,677,642,0,,38.3,151988,Amazon,15,,GA,64924,City 4,REPO,213,Repo,7,5,3,11256.11,12504.1,01/27/2024,ACH,0,0,0,81.4,54584,33350.82,38.9,25257.32,37412.51,149.13,50,QD-2024-C,INV_AUTO_3,BATCH-381,13,2022Q2,0,6,51.6,,13,7,0,0,Online App,Subprime,D,746.5,58.4,86.1
QD-0000156,3670,12/11/2022,2022-03-26,,24478.22,22455.35,3.36,5.38,48,44,511.39,446.08,Hyundai,Sonata,2025,XEXB92YFAI6YR8NKR,44945,New,Carvana,IL,548,543,1,571,52.4,242314,Freelance,23,,IL,15578,Aurora,CURRENT,0,Current,0,0,,0.0,0.0,,ACH,1,0,,88.5,27659,20329.36,26.5,16481.19,22609.81,405.38,100,QD-2024-A,INV_AUTO_1,BATCH-443,4,2022Q4,0,9,86.6,3,5,3,5,0,Broker,Super Prime,A+,624.5,72.3,84.6
QD-0000157,1197,02/03/2022,2022-09-05,,54502.47,0.0,16.82,17.48,60,57,921.11,0,Ford,Mustang,2023,3DPFTBAQX16OEM9NN,49792,Used,Group 1,VA,772,783,0,,28.9,217865,Bank of America,29,Employer Confirmed,VA,26299,City 15,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,Check,1,0,0,89.1,61170,43002.51,29.7,30551.85,49017.8,397.1,75,QD-2024-B,INV_AUTO_1,BATCH-605,3,2022Q1,0,9,76.2,13,25,2,1,1,,Deep Subprime,B,677.6,52.9,64.2
QD-0000158,,12/05/2022,2024-06-18,,63306.18,27000.68,8.62,9.05,48,12,1328.35,1445.85,Mazda,MX-5,2021,RCVFV2R35LJM6C7LU,36556,Certified Pre-Owned,Sonic Auto,AL,628,588,1,785,29.1,222038,,,,AL,43854,City 38,30DPD,59,30-59,2,,0,0.0,0.0,,Check,,0,0,98.3,64401,56286.47,12.6,47968.97,58258.6,,25,QD-2024-A,,BATCH-731,36,2022Q4,0,4,4.7,8,13,0,4,0,Online App,Super Prime,E,395.7,72.1,93.4
QD-0000159,8379,08/31/2023,2023-03-20,,45048.48,35143.43,150.5,17.28,72,44,634.08,640.23,Honda,HR-V,2022,7F638ZKRG6WMZ0ZCS,89791,Certified Pre-Owned,CarMax,OH,812,792,0,,44.9,104573,Bank of America,19,Not Verified,OH,67215,City 10,60DPD,61,60-89,5,3,0,0.0,0.0,,,1,0,0,75.4,59746,50724.35,15.1,35548.47,51467.3,164.77,75,,INV_AUTO_3,BATCH-333,28,2023Q3,0,5,,19,36,1,5,0,Online App,Near Prime,D,454.4,38.1,56.5
QD-0000160,5554,04/23/2023,2023-10-14,,61900.67,0.0,16.41,18.3,60,,1045.79,0,Honda,Accord,2022,HYA1W3RR43UR4MFJH,79785,New,Sonic Auto,PA,-1,,0,,19.6,244305,Freelance,13,,PA,77182,City 28,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,ACH,1,0,0,105.9,58452,41208.66,29.5,33252.7,41459.18,30.38,25,QD-2024-C,INV_AUTO_1,BATCH-653,1,2023Q2,0,9,81.0,9,13,3,4,0,Dealer Direct,Prime,C,311.9,24.5,
QD-0000161,3805,10/22/2024,2022-11-03,,45719.39,24889.44,9.36,10.01,60,31,767.93,770.84,Mazda,MX-5,2020,UB31P35ZWQYT39UZC,19857,Used,Hendrick Auto,WA,838,789,0,,63.2,200620,,25,,WA,71438,City 49,CHARGED_OFF,169,Charged Off,3,5,,12670.62,2618.06,12/02/2024,Online,1,0,0,128.7,35524,24866.8,30.0,22110.76,25000.96,362.47,,QD-2025-A,,BATCH-561,29,2024Q4,0,0,93.4,30,34,3,1,0,Online App,Deep Subprime,B,793.0,56.3,70.7
QD-0000162,5590,09/24/2024,2024-06-24,,10844.5,0.0,10.14,10.87,36,9,303.78,0,Kia,Seltos,2021,L9TDCC58XZ17924HT,35893,Used,Local Motors,WI,752,,0,,57.7,227243,Home Depot,10,,WI,11739,City 45,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,Online,0,0,0,99.5,10899,7727.39,29.1,6764.83,8071.48,178.74,25,,,BATCH-732,27,2024Q3,0,10,63.2,22,32,7,5,0,Dealer Direct,Near Prime,E,839.3,21.8,66.1
QD-0000163,1469,08/11/2023,2022-07-22,,37373.48,29623.56,15.54,17.59,72,31,525.8,,Volkswagen,ID.4,2020,4M7B0VZGUGNQVNOPC,26382,New,Local Motors,CO,650,611,0,,12.7,64352,Freelance,21,,CO,94610,City 26,CHARGED_OFF,244,Charged Off,7,6,1,19398.01,3000.56,06/21/2024,Online,1,0,0,122.0,30634,24139.59,21.2,20105.56,28952.64,367.97,50,,INV_AUTO_2,BATCH-648,41,2023Q3,0,8,81.7,7,22,7,2,0,Dealer Indirect,Subprime,E,587.7,69.9,52.9
QD-0000164,7961,06/21/2022,2024-02-05,,31544.94,20959.77,14.68,15.01,84,47,380.13,,GMC,Acadia,2024,Z2SC0T8DHDDCIROW8,57074,New,Sonic Auto,KY,650,,,,12.0,144898,Starbucks,2,Employer Confirmed,KY,59541,,CURRENT,0,Current,0,0,0,,0.0,,ACH,1,0,0,,39530,32454.13,17.9,24300.75,35670.64,67.01,25,QD-2024-C,,BATCH-697,37,2022Q2,0,14,52.6,15,33,5,1,0,Dealer Indirect,Super Prime,A,389.3,9.3,63.0
QD-0000165,8731,06/25/2024,2024-05-26,,44940.16,20042.44,5.48,7.57,60,44,752.42,682.34,Honda,Accord,2020,4DY99O3UCR68NIXC6,81504,Certified Pre-Owned,AutoNation,GA,609,565,0,,48.0,109361,Bank of America,5,,GA,49052,City 26,90DPD,166,120+,4,3,2,0.0,0.0,,ACH,1,0,0,136.9,32827,23668.27,27.9,19583.01,25374.86,318.33,100,QD-2024-B,INV_AUTO_3,BATCH-777,16,2024Q2,0,1,73.0,19,30,3,3,0,Online App,Subprime,D,607.2,42.9,63.4
QD-0000166,5924,09/02/2023,2024-06-24,,48712.96,46378.13,20.89,21.02,,34,1376.69,1264.66,Ford,Mustang,2019,USX9DXZNKQWQYO6IL,77153,Used,Larry H. Miller,TX,605,618,0,,32.5,94115,UPS,4,Verified,TX,,San Antonio,30DPD,47,30-59,2,0,0,0.0,0.0,,Check,0,0,0,,43147,38616.57,10.5,34220.06,45263.06,458.58,50,,INV_AUTO_1,BATCH-571,,2023Q3,0,5,38.9,23,32,5,3,0,Online App,Subprime,E,466.8,14.4,78.9
QD-0000167,4072,08/08/2024,2022-01-09,,24486.35,0.0,10.06,11.61,36,30,685.88,0,Tesla,,2021,I2C7RWE9EUKIFM5CI,56190,Certified Pre-Owned,CarMax,CO,822,788,0,,53.9,52410%,UPS,18,Employer Confirmed,CO,49774,City 2,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,ACH,1,0,0,74.1,33045,24651.57,25.4,19676.19,26103.86,,50,,,BATCH-969,6,2024Q3,0,14,85.1,10,20,2,3,0,Broker,Super Prime,E,353.0,9.2,
QD-0000168,2667,12/25/2022,,,31673.6,19661.84,6.01,7.8,36,25,884.23,955.68,Tesla,Model X,2022,MB41G877FXV7A7KX7,102466,New,Hendrick Auto,AZ,826,810,0,,50.2,53906,FedEx,7,Not Verified,AZ,33721,City 36,30DPD,36,30-59,5,0,0,0.0,0.0,,ACH,1,0,0,79.5,39841,28207.43,29.2,20398.61,30311.85,136.46,25,,INV_AUTO_3,BATCH-563,11,2022Q4,0,11,,19,38,4,,0,Dealer Direct,Super Prime,B,582.6,86.6,76.3
QD-0000169,1149,,2023-09-05,,29550.63,17954.85,8.21,9.59,36,18,826.47,828.61,Volkswagen,Taos,2018,IFJHS1JQEDLI5VLMQ,42350,Used,Lithia,AZ,713,663,1,712,31.7,33332,FedEx,14,Self-Reported,AZ,64821,City 6,,0,Current,0,0,0,0.0,0.0,,ACH,1,0,0,99.4,29729,19026.56,36.0,15217.05,22487.1,424.44,75,QD-2024-C,INV_AUTO_3,BATCH-570,18,2022Q2,0,6,47.9,13,32,2,5,1,Broker,Prime,A,514.6,,75.6
QD-0000170,6779,01/01/2022,2023-08-09,,39247.48,30456.41,17.86,18.43,48,,829.83,816.79,Tesla,Model S,2020,67Y9PPPCGQ6PE2FDZ,99213,Used,Penske,AZ,712,697,0,,39.2,118591,,,Self-Reported,AZ,39740,,,0,Current,0,0,0,0.0,0.0,,ACH,1,0,0,120.1,32679,30881.65,5.5,26188.2,34679.71,188.42,100,QD-2024-C,INV_AUTO_2,BATCH-554,5,2022Q1,0,14,46.5,26,43,1,2,0,Online App,Near Prime,E,440.6,96.2,82.5
QD-0000171,6469,,2024-06-22,,33095.99,31152.78,9.08,11.24,60,45,555.77,468.46,Nissan,Rogue,2019,Y5115ZG80ZWVHYJEE,69970,Used,Group 1,AZ,632,,1,710,37.9,240738,,,,AZ,44102,City 31,30DPD,55,30-59,2,0,0,0.0,0.0,,Check,1,0,0,82.8,39971,35893.96,10.2,29199.61,38241.36,312.74,75,QD-2024-A,,,15,2024Q4,0,9,70.8,27,30,0,2,0,Dealer Indirect,Super Prime,C,395.8,27.9,90.1
QD-0000172,1585,06/20/2023,2024-01-27,,49109.21,32978.59,17.0,,84,62,592.92,587.83,Volkswagen,Taos,2024,CCIMNSCHLSXJXRQMB,99265,New,Carvana,PA,796,783,1,693,19.1,169401,,,Verified,PA,29080,City 8,CHARGED_OFF,283,Charged Off,7,6,3,30814.91,,11/02/2024,ACH,0,0,0,120.7,40687,23150.9,43.1,19603.02,25822.87,237.6,25,,INV_AUTO_1,BATCH-321,22,2023Q2,0,0,7.7,29,39,4,3,0,Broker,Near Prime,B,330.0,65.3,
QD-0000173,8784,18-Oct-2023,2022-09-15,,63543.64,35666.35,13.48,14.71,60,22,1070.96,1152.31,Ram,2500,2021,8E5SFE0X7H2CPCC3Z,103987,Used,Group 1,CA,783,751,0,,41.7,191698,Self-Employed,2,Employer Confirmed,CA,,Los Angeles,CURRENT,0,Current,0,0,0,0.0,0.0,,,1,0,0,102.3,62115,37517.46,39.6,,,62.53,25,QD-2025-A,INV_AUTO_2,BATCH-668,38,2023Q4,0,14,81.8,30,30,8,4,0,Dealer Indirect,,,363.9,23.9,90.2
QD-0000174,,08/04/2023,2024-04-05,,70339.6,0.0,21.76,22.6,84,65,852.56,0,Tesla,Model S,2025,TJ669REA3Y0XAOBK0,67953,New,Sonic Auto,MA,692,658,0,,38.9,209100,Uber,28,Verified,MA,24129,City 39,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,ACH,1,0,0,108.9,64591,44374.02,31.3,34818.36,45671.98,438.3,25,QD-2025-A,INV_AUTO_2,,19,2023Q3,0,13,98.5,13,22,3,1,0,Broker,Prime,B,530.6,97.0,85.5
